Driving Task: assets/DrivingTasks/Projects/init_drive/init_drive.xml
Creation Time: 2023-01-23 11:20:37.430
Driver: TestDriver
Used Format = Time (ms) : Timestamp : Position (x,y,z) : Rotation (x,y,z,w) : Speed (km/h) : Steering Wheel Position [-1,1] : Gas Pedal Position : Brake Pedal Position : Engine Running : Front Position(x,y,z) : Reference Objects
1674469237482:2023-01-23 11.20.37.482:-765.6629:0.13601221:96.10328:3.8645827E-4:0.7069871:-3.86224E-4:0.7072263:43.73:1.6669257E-5:0.0:0.0:true:-780.6224:1.1524038:96.098206:[]
1674469237532:2023-01-23 11.20.37.532:-766.3928:0.1360123:96.10305:3.8608996E-4:0.7069891:-3.858327E-4:0.70722425:43.84:1.6667815E-5:0.0:0.0:true:-781.35223:1.1523885:96.09807:[]
1674469237586:2023-01-23 11.20.37.586:-767.0025:0.13601238:96.10286:3.857481E-4:0.7069908:-3.8550218E-4:0.7072226:43.93:1.6655487E-5:0.0:0.0:true:-781.9618:1.1523743:96.097946:[]
1674469237635:2023-01-23 11.20.37.635:-767.6134:0.13601245:96.10267:3.8541714E-4:0.70699227:-3.8518102E-4:0.7072211:44.01:1.6641976E-5:0.0:0.0:true:-782.57263:1.1523604:96.097824:[]
1674469237686:2023-01-23 11.20.37.686:-768.103:0.13601251:96.102516:3.8516193E-4:0.70699364:-3.8492773E-4:0.7072197:44.08:1.6637056E-5:0.0:0.0:true:-783.06213:1.1523492:96.097725:[]
1674469237732:2023-01-23 11.20.37.732:-768.5934:0.13601257:96.10236:3.8488736E-4:0.706995:-3.846518E-4:0.70721835:44.15:1.6621321E-5:0.0:0.0:true:-783.5524:1.1523376:96.09763:[]
1674469237785:2023-01-23 11.20.37.785:-769.33014:0.13536859:96.10224:5.411422E-4:0.70700663:1.1296978E-4:0.7072067:44.24:1.6078855E-5:0.0:0.0:true:-784.2891:1.1440731:96.09801:[]
1674469237833:2023-01-23 11.20.37.833:-769.8222:0.1355976:96.10208:4.7976946E-4:0.7070083:-8.9504414E-5:0.7072051:44.31:1.597933E-5:0.0:0.0:true:-784.7811:1.1473209:96.09792:[]
1674469237887:2023-01-23 11.20.37.887:-770.43835:0.13589247:96.10185:4.016586E-4:0.7070098:-3.379198E-4:0.70720357:44.39:1.5962501E-5:0.0:0.0:true:-785.3972:1.151467:96.097755:[]
1674469237935:2023-01-23 11.20.37.935:-770.9321:0.13600193:96.10169:3.7416615E-4:0.7070109:-4.1838523E-4:0.70720243:44.46:1.5962501E-5:0.0:0.0:true:-785.8909:1.1528158:96.09764:[]
